year,gender,official_time,seconds
2004,M,2:19:31,8371.0
2004,M,2:21:24,8484.0
2004,M,2:22:45,8565.0
2004,M,2:23:48,8628.0
2004,M,2:24:04,8644.0
2004,F,2:24:27,8667.0
2004,F,2:24:43,8683.0
2004,M,2:25:41,8741.0
2004,M,2:26:15,8775.0
2004,M,2:27:12,8832.0
2004,F,2:27:34,8854.0
2004,M,2:27:54,8874.0
2004,M,2:28:54,8934.0
2004,M,2:29:13,8953.0
2004,M,2:29:57,8997.0
2004,F,2:30:16,9016.0
2004,F,2:30:44,9044.0
2004,M,2:30:50,9050.0
2004,F,2:31:17,9077.0
2004,M,2:31:17,9077.0
2004,M,2:31:49,9109.0
2004,F,2:32:23,9143.0
2004,M,2:32:27,9147.0
2004,M,2:33:15,9195.0
2004,F,2:33:20,9200.0
2004,M,2:33:22,9202.0
2004,M,2:33:23,9203.0
2004,M,2:33:53,9233.0
2004,M,2:33:57,9237.0
2004,M,2:34:07,9247.0
2004,F,2:34:08,9248.0
2004,F,2:34:32,9272.0
2004,M,2:34:34,9274.0
2004,M,2:35:11,9311.0
2004,M,2:35:35,9335.0
2004,M,2:37:21,9441.0
2004,M,2:38:14,9494.0
2004,M,2:38:33,9513.0
2004,M,2:39:08,9548.0
2004,M,2:39:08,9548.0
2004,M,2:39:16,9556.0
2004,M,2:39:22,9562.0
2004,M,2:39:22,9562.0
2004,M,2:39:29,9569.0
2004,M,2:39:32,9572.0
2004,M,2:39:36,9576.0
2004,M,2:39:52,9592.0
2004,M,2:39:52,9592.0
2004,M,2:39:55,9595.0
2004,M,2:40:11,9611.0
2004,M,2:40:59,9659.0
2004,M,2:41:06,9666.0
2004,M,2:41:07,9667.0
2004,M,2:41:16,9676.0
2004,M,2:41:31,9691.0
2004,F,2:41:41,9701.0
2004,M,2:41:55,9715.0
2004,M,2:41:57,9717.0
2004,M,2:41:59,9719.0
2004,M,2:42:07,9727.0
2004,M,2:42:12,9732.0
2004,M,2:42:18,9738.0
2004,M,2:42:33,9753.0
2004,M,2:42:42,9762.0
2004,M,2:42:54,9774.0
2004,M,2:42:58,9778.0
2004,M,2:43:04,9784.0
2004,M,2:43:15,9795.0
2004,M,2:43:24,9804.0
2004,M,2:43:26,9806.0
2004,M,2:43:33,9813.0
2004,M,2:43:34,9814.0
2004,M,2:43:34,9814.0
2004,M,2:43:39,9819.0
2004,M,2:44:05,9845.0
2004,M,2:44:05,9845.0
2004,M,2:44:09,9849.0
2004,M,2:44:10,9850.0
2004,M,2:44:29,9869.0
2004,M,2:44:29,9869.0
2004,M,2:44:32,9872.0
2004,M,2:44:40,9880.0
2004,M,2:44:42,9882.0
2004,M,2:44:58,9898.0
2004,M,2:45:23,9923.0
2004,M,2:45:37,9937.0
2004,M,2:45:50,9950.0
2004,M,2:45:51,9951.0
2004,M,2:45:54,9954.0
2004,M,2:46:02,9962.0
2004,M,2:46:02,9962.0
2004,M,2:46:07,9967.0
2004,M,2:46:12,9972.0
2005,M,2:11:45,7905.0
2005,M,2:12:21,7941.0
2005,M,2:12:48,7968.0
2005,M,2:13:39,8019.0
2005,M,2:14:30,8070.0
2005,M,2:15:19,8119.0
2005,M,2:15:26,8126.0
2005,M,2:16:38,8198.0
2005,M,2:16:41,8201.0
2005,M,2:17:32,8252.0
2005,M,2:18:17,8297.0
2005,M,2:18:22,8302.0
2005,M,2:18:57,8337.0
2005,M,2:19:04,8344.0
2005,M,2:19:28,8368.0
2005,M,2:19:41,8381.0
2005,M,2:20:28,8428.0
2005,M,2:20:42,8442.0
2005,M,2:23:47,8627.0
2005,M,2:23:50,8630.0
2005,M,2:24:26,8666.0
2005,M,2:24:55,8695.0
2005,M,2:24:59,8699.0
2005,F,2:25:13,8713.0
2005,M,2:25:22,8722.0
2005,M,2:25:43,8743.0
2005,M,2:26:28,8788.0
2005,M,2:26:56,8816.0
2005,F,2:27:03,8823.0
2005,M,2:27:09,8829.0
2005,M,2:27:20,8840.0
2005,M,2:27:33,8853.0
2005,F,2:29:51,8991.0
2005,M,2:30:17,9017.0
2005,M,2:30:28,9028.0
2005,M,2:30:30,9030.0
2005,M,2:31:13,9073.0
2005,M,2:31:29,9089.0
2005,M,2:31:32,9092.0
2005,F,2:31:34,9094.0
2005,M,2:31:47,9107.0
2005,M,2:32:02,9122.0
2005,M,2:32:30,9150.0
2005,M,2:32:38,9158.0
2005,F,2:32:41,9161.0
2005,M,2:32:53,9173.0
2005,M,2:33:03,9183.0
2005,M,2:33:15,9195.0
2005,F,2:33:24,9204.0
2005,M,2:33:28,9208.0
2005,M,2:33:32,9212.0
2005,M,2:33:34,9214.0
2005,F,2:33:51,9231.0
2005,M,2:34:19,9259.0
2005,M,2:34:23,9263.0
2005,M,2:34:35,9275.0
2005,M,2:34:43,9283.0
2005,M,2:35:01,9301.0
2005,M,2:35:09,9309.0
2005,M,2:35:15,9315.0
2005,M,2:35:18,9318.0
2005,M,2:35:31,9331.0
2005,M,2:35:41,9341.0
2005,M,2:35:58,9358.0
2005,M,2:36:04,9364.0
2005,M,2:36:10,9370.0
2005,M,2:36:21,9381.0
2005,M,2:36:24,9384.0
2005,M,2:36:45,9405.0
2005,F,2:36:54,9414.0
2005,M,2:36:58,9418.0
2005,M,2:37:22,9442.0
2005,M,2:37:23,9443.0
2005,M,2:37:27,9447.0
2005,M,2:37:28,9448.0
2005,M,2:37:29,9449.0
2005,F,2:37:34,9454.0
2005,F,2:37:37,9457.0
2005,M,2:38:02,9482.0
2005,M,2:38:26,9506.0
2005,M,2:38:37,9517.0
2005,M,2:38:44,9524.0
2005,M,2:38:48,9528.0
2005,M,2:39:02,9542.0
2005,M,2:39:12,9552.0
2005,M,2:39:17,9557.0
2005,M,2:39:19,9559.0
2005,M,2:39:21,9561.0
2005,M,2:39:29,9569.0
2005,M,2:39:33,9573.0
2005,M,2:39:33,9573.0
2005,M,2:39:37,9577.0
2005,M,2:39:38,9578.0
2005,M,2:39:39,9579.0
2005,M,2:39:48,9588.0
2005,M,2:39:49,9589.0
2005,M,2:39:55,9595.0
